"Notes"	"Census Region"	"Census Region Code"	"County"	"County Code"	"2006 Urbanization"	"2006 Urbanization Code"	Births	Average Birth Weight	Standard Deviation for Average Birth Weight	Average Age of Mother	Standard Deviation for Average Age of Mother	Average LMP Gestational Age	Standard Deviation for Average LMP Gestational Age	Average OE Gestational Age	Standard Deviation for Average OE Gestational Age
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Medium Metro"	"3"	124620	3306.453	588.219	30.910	5.912	38.761	2.326	38.634	2.093
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Large Central Metro"	"1"	115535	3255.163	610.276	29.168	5.938	38.611	2.559	38.440	2.346
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"Micropolitan (Nonmetro)"	"5"	18092	3333.088	588.202	30.028	5.642	38.815	2.323	38.618	2.056
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, CT"	"09007"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, CT"	"09007"	"Large Fringe Metro"	"2"	17109	3347.808	583.052	30.699	5.444	38.835	2.238	38.673	2.022
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, CT"	"09007"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, CT"	"09007"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, CT"	"09007"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, CT"	"09007"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Medium Metro"	"3"	110051	3268.592	600.313	29.132	5.986	38.739	2.492	38.592	2.220
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Medium Metro"	"3"	33010	3327.380	596.777	28.813	5.764	38.851	2.326	38.666	2.135
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Tolland County, CT"	"09013"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Tolland County, CT"	"09013"	"Large Fringe Metro"	"2"	14226	3337.562	582.482	30.325	5.384	38.847	2.357	38.631	2.079
	"Census Region 1: Northeast"	"CENS-R1"	"Tolland County, CT"	"09013"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Tolland County, CT"	"09013"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Tolland County, CT"	"09013"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Tolland County, CT"	"09013"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Windham County, CT"	"09015"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Windham County, CT"	"09015"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Windham County, CT"	"09015"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Windham County, CT"	"09015"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Windham County, CT"	"09015"	"Micropolitan (Nonmetro)"	"5"	13917	3294.903	598.335	28.025	5.811	38.739	2.517	38.554	2.122
	"Census Region 1: Northeast"	"CENS-R1"	"Windham County, CT"	"09015"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Androscoggin County, ME"	"23001"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Androscoggin County, ME"	"23001"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Androscoggin County, ME"	"23001"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Androscoggin County, ME"	"23001"	"Small Metro"	"4"	15727	3331.694	598.063	27.350	5.630	39.044	2.523	38.872	2.141
	"Census Region 1: Northeast"	"CENS-R1"	"Androscoggin County, ME"	"23001"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Androscoggin County, ME"	"23001"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"Medium Metro"	"3"	33679	3371.498	591.197	30.022	5.629	38.988	2.424	38.809	2.099
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Kennebec County, ME"	"23011"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Kennebec County, ME"	"23011"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Kennebec County, ME"	"23011"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Kennebec County, ME"	"23011"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Kennebec County, ME"	"23011"	"Micropolitan (Nonmetro)"	"5"	14358	3362.091	597.386	27.491	5.521	38.993	2.487	38.759	2.099
	"Census Region 1: Northeast"	"CENS-R1"	"Kennebec County, ME"	"23011"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Penobscot County, ME"	"23019"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Penobscot County, ME"	"23019"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Penobscot County, ME"	"23019"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Penobscot County, ME"	"23019"	"Small Metro"	"4"	17827	3355.044	597.702	27.563	5.494	38.778	2.440	38.600	2.089
	"Census Region 1: Northeast"	"CENS-R1"	"Penobscot County, ME"	"23019"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Penobscot County, ME"	"23019"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"York County, ME"	"23031"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"York County, ME"	"23031"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"York County, ME"	"23031"	"Medium Metro"	"3"	22786	3366.387	591.958	28.545	5.664	38.963	2.446	38.773	2.108
	"Census Region 1: Northeast"	"CENS-R1"	"York County, ME"	"23031"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"York County, ME"	"23031"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"York County, ME"	"23031"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Unidentified Counties, ME"	"23999"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Unidentified Counties, ME"	"23999"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Unidentified Counties, ME"	"23999"	"Medium Metro"	"3"	4143	3391.886	591.893	28.438	5.775	38.998	2.377	38.776	2.061
	"Census Region 1: Northeast"	"CENS-R1"	"Unidentified Counties, ME"	"23999"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Unidentified Counties, ME"	"23999"	"Micropolitan (Nonmetro)"	"5"	4269	3412.403	603.960	28.029	5.992	39.224	2.446	38.998	2.056
	"Census Region 1: Northeast"	"CENS-R1"	"Unidentified Counties, ME"	"23999"	"NonCore (Nonmetro)"	"6"	42277	3352.303	592.617	27.157	5.672	39.013	2.455	38.789	2.070
	"Census Region 1: Northeast"	"CENS-R1"	"Barnstable County, MA"	"25001"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Barnstable County, MA"	"25001"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Barnstable County, MA"	"25001"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Barnstable County, MA"	"25001"	"Small Metro"	"4"	19680	3368.936	598.359	29.794	5.846	38.974	2.404	38.853	2.058
	"Census Region 1: Northeast"	"CENS-R1"	"Barnstable County, MA"	"25001"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Barnstable County, MA"	"25001"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Berkshire County, MA"	"25003"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Berkshire County, MA"	"25003"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Berkshire County, MA"	"25003"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Berkshire County, MA"	"25003"	"Small Metro"	"4"	13280	3290.519	595.365	28.406	5.994	38.838	2.591	38.812	2.118
	"Census Region 1: Northeast"	"CENS-R1"	"Berkshire County, MA"	"25003"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Berkshire County, MA"	"25003"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Bristol County, MA"	"25005"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Bristol County, MA"	"25005"	"Large Fringe Metro"	"2"	69920	3280.813	591.406	28.676	5.828	38.761	2.490	38.661	2.118
	"Census Region 1: Northeast"	"CENS-R1"	"Bristol County, MA"	"25005"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Bristol County, MA"	"25005"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Bristol County, MA"	"25005"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Bristol County, MA"	"25005"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Essex County, MA"	"25009"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Essex County, MA"	"25009"	"Large Fringe Metro"	"2"	102792	3314.438	593.783	29.641	5.957	38.786	2.429	38.687	2.106
	"Census Region 1: Northeast"	"CENS-R1"	"Essex County, MA"	"25009"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Essex County, MA"	"25009"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Essex County, MA"	"25009"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Essex County, MA"	"25009"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hampden County, MA"	"25013"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hampden County, MA"	"25013"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hampden County, MA"	"25013"	"Medium Metro"	"3"	64149	3283.498	609.873	27.523	6.075	38.880	2.607	38.665	2.260
	"Census Region 1: Northeast"	"CENS-R1"	"Hampden County, MA"	"25013"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hampden County, MA"	"25013"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hampden County, MA"	"25013"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hampshire County, MA"	"25015"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hampshire County, MA"	"25015"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hampshire County, MA"	"25015"	"Medium Metro"	"3"	13142	3395.033	600.724	30.617	5.689	39.049	2.349	39.013	2.113
	"Census Region 1: Northeast"	"CENS-R1"	"Hampshire County, MA"	"25015"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hampshire County, MA"	"25015"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hampshire County, MA"	"25015"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, MA"	"25017"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, MA"	"25017"	"Large Fringe Metro"	"2"	210644	3318.993	582.781	31.488	5.385	38.819	2.276	38.761	2.017
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, MA"	"25017"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, MA"	"25017"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, MA"	"25017"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, MA"	"25017"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Norfolk County, MA"	"25021"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Norfolk County, MA"	"25021"	"Large Fringe Metro"	"2"	87280	3331.494	585.588	31.947	5.057	38.722	2.233	38.724	2.011
	"Census Region 1: Northeast"	"CENS-R1"	"Norfolk County, MA"	"25021"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Norfolk County, MA"	"25021"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Norfolk County, MA"	"25021"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Norfolk County, MA"	"25021"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Plymouth County, MA"	"25023"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Plymouth County, MA"	"25023"	"Large Fringe Metro"	"2"	63049	3349.351	603.018	30.306	5.745	38.771	2.400	38.715	2.091
	"Census Region 1: Northeast"	"CENS-R1"	"Plymouth County, MA"	"25023"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Plymouth County, MA"	"25023"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Plymouth County, MA"	"25023"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Plymouth County, MA"	"25023"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Suffolk County, MA"	"25025"	"Large Central Metro"	"1"	113557	3259.573	602.072	29.994	5.999	38.684	2.510	38.708	2.243
	"Census Region 1: Northeast"	"CENS-R1"	"Suffolk County, MA"	"25025"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Suffolk County, MA"	"25025"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Suffolk County, MA"	"25025"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Suffolk County, MA"	"25025"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Suffolk County, MA"	"25025"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Worcester County, MA"	"25027"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Worcester County, MA"	"25027"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Worcester County, MA"	"25027"	"Medium Metro"	"3"	106078	3314.219	596.348	29.245	5.771	38.850	2.393	38.720	2.133
